candidate,checkpoint_sha256,ultralytics_epoch,protocol,dataset_labels,macro_recall,macro_fdr,ship_recall,ship_fdr,aircraft_recall,aircraft_fdr,vehicle_recall,vehicle_fdr,total_seconds,max_image_seconds,result_sha256,timing_sha256,decision
EXP006_best,111ae87e2911dcf35a68cb0b7d047e75f88ab62baa7367e690324133bbf2d67d,55,d0_original_mapped,D0,0.885258766,0.185690908,0.826996198,0.217625899,0.989273927,0.033324375,0.839506173,0.306122449,46.274,4.284,11e7e0202bbc18bcd114a192cfa8993989adc7ff254f1cdd5d5e6edca6a5a675,7b8107528e861f131ccb59981bafeadb08b4e8e73a766d8c3c1dabb9078f98ec,selected_for_3090_validation
EXP006_best,111ae87e2911dcf35a68cb0b7d047e75f88ab62baa7367e690324133bbf2d67d,55,d3_manual_revision,D3,0.897674692,0.176098582,0.842990654,0.188848921,0.989273927,0.033324375,0.860759494,0.306122449,46.274,4.284,11e7e0202bbc18bcd114a192cfa8993989adc7ff254f1cdd5d5e6edca6a5a675,7b8107528e861f131ccb59981bafeadb08b4e8e73a766d8c3c1dabb9078f98ec,selected_for_3090_validation
EXP006_last,af65a3b478c875fbe4fae882b01ed896de3c7ac2f3a6102de4e01a470422b1e2,60,d0_original_mapped,D0,0.886075831,0.197364576,0.828897338,0.228318584,0.989823982,0.030441810,0.839506173,0.333333333,46.980,4.344,edaf846519eceeab771b2be2e52b0e83e767b1a5658139085a7fd6e5edb4225c,e96e99032177aa2163c42aa3052a9b4437e7cde0481d3d4a343c928586438151,rejected_fdr_margin_too_thin
EXP006_last,af65a3b478c875fbe4fae882b01ed896de3c7ac2f3a6102de4e01a470422b1e2,60,d3_manual_revision,D3,0.894884740,0.190603051,0.846728972,0.198230088,0.989823982,0.030441810,0.848101266,0.343137255,46.980,4.344,edaf846519eceeab771b2be2e52b0e83e767b1a5658139085a7fd6e5edb4225c,e96e99032177aa2163c42aa3052a9b4437e7cde0481d3d4a343c928586438151,rejected_fdr_margin_too_thin
